bundesland,review_board,bip,%bip,#subject_area,%subject_area,#institution_id,%institution_id,#project_id,%project_id,average_fundation,%average_fundation
Nordrhein-Westfalen,Alle,14656729,1.0,21,0.9130434782608695,81,1.0,343,1.0,5.104956268221574,1.0
Nordrhein-Westfalen,Informatik,14656729,1.0,8,0.8888888888888888,37,1.0,76,1.0,4.552631578947368,0.9584487534626038
Nordrhein-Westfalen,Mathematik,14656729,1.0,1,1.0,33,1.0,172,1.0,5.686046511627907,0.9057419222062153
Nordrhein-Westfalen,Psychologie,14656729,1.0,5,1.0,25,0.7352941176470589,75,1.0,4.226666666666667,0.6038095238095238
Nordrhein-Westfalen,Theologie,14656729,1.0,3,1.0,8,0.6666666666666666,9,0.6,7.0,1.0
Nordrhein-Westfalen,Sprachwissenschaften,14656729,1.0,4,0.8,13,0.6190476190476191,15,0.2727272727272727,5.266666666666667,0.4388888888888889
Niedersachsen,Alle,5768281,0.3935585491141987,23,1.0,34,0.41975308641975306,91,0.2653061224489796,3.78021978021978,0.7404999341035892
Niedersachsen,Informatik,5768281,0.3935585491141987,9,1.0,17,0.4594594594594595,40,0.5263157894736842,2.6,0.5473684210526316
Niedersachsen,Mathematik,5768281,0.3935585491141987,1,1.0,12,0.36363636363636365,18,0.10465116279069768,6.277777777777778,1.0
Niedersachsen,Psychologie,5768281,0.3935585491141987,5,1.0,11,0.3235294117647059,18,0.24,4.5,0.6428571428571429
Niedersachsen,Theologie,5768281,0.3935585491141987,3,1.0,7,0.5833333333333334,11,0.7333333333333333,3.6363636363636362,0.5194805194805194
Niedersachsen,Sprachwissenschaften,5768281,0.3935585491141987,5,1.0,4,0.19047619047619047,5,0.09090909090909091,3.0,0.25
Bayern,Alle,11568403,0.7892895474836166,20,0.8695652173913043,53,0.654320987654321,84,0.24489795918367346,4.7976190476190474,0.9397963068722635
Bayern,Informatik,11568403,0.7892895474836166,8,0.8888888888888888,27,0.7297297297297297,31,0.40789473684210525,3.838709677419355,0.8081494057724958
Bayern,Mathematik,11568403,0.7892895474836166,1,1.0,13,0.3939393939393939,21,0.12209302325581395,5.904761904761905,0.940581542351454
Bayern,Psychologie,11568403,0.7892895474836166,4,0.8,7,0.20588235294117646,9,0.12,3.888888888888889,0.5555555555555556
Bayern,Theologie,11568403,0.7892895474836166,3,1.0,12,1.0,12,0.8,4.833333333333333,0.6904761904761905
Bayern,Sprachwissenschaften,11568403,0.7892895474836166,4,0.8,13,0.6190476190476191,14,0.2545454545454545,6.0,0.5
Rheinland-Pfalz,Alle,2960491,0.20198852008521137,15,0.6521739130434783,26,0.32098765432098764,76,0.22157434402332363,3.776315789473684,0.7397351889146052
Rheinland-Pfalz,Informatik,2960491,0.20198852008521137,4,0.4444444444444444,8,0.21621621621621623,11,0.14473684210526316,2.727272727272727,0.5741626794258373
Rheinland-Pfalz,Mathematik,2960491,0.20198852008521137,1,1.0,7,0.21212121212121213,29,0.1686046511627907,4.206896551724138,0.6701251144339335
Rheinland-Pfalz,Psychologie,2960491,0.20198852008521137,5,1.0,9,0.2647058823529412,15,0.2,2.8,0.39999999999999997
Rheinland-Pfalz,Theologie,2960491,0.20198852008521137,3,1.0,5,0.4166666666666667,15,1.0,3.8666666666666667,0.5523809523809524
Rheinland-Pfalz,Sprachwissenschaften,2960491,0.20198852008521137,2,0.4,3,0.14285714285714285,8,0.14545454545454545,4.875,0.40625
Hessen,Alle,5965771,0.4070329061825459,22,0.9565217391304348,31,0.38271604938271603,107,0.3119533527696793,4.065420560747664,0.796367362842061
Hessen,Informatik,5965771,0.4070329061825459,8,0.8888888888888888,12,0.32432432432432434,41,0.5394736842105263,3.951219512195122,0.8318356867779204
